item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type,item_outlet_sales,new_item_type,outlet_years
FDW49,19.5,Low Fat,0.07947606,Canned,179.3002,OUT045,2002,Small,Tier 2,Supermarket Type1,7.960534,Food,11
FDR58,6.675,Low Fat,0.04105896,Snack Foods,90.7462,OUT035,2004,Small,Tier 2,Supermarket Type1,7.41808,Food,9
NCE07,8.18,Low Fat,0.013117883,Household,143.8154,OUT017,2007,Small,Tier 2,Supermarket Type1,7.8989654,Non-Consumables,6
FDK14,6.98,Low Fat,0.040283408,Canned,83.4934,OUT046,1997,Small,Tier 1,Supermarket Type1,7.3498573,Food,16
FDC11,20.5,Low Fat,0.13199814,Starchy Foods,87.9172,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.252274,Food,28
FDL22,16.85,Low Fat,0.035814896,Snack Foods,90.7488,OUT045,2002,Small,Tier 2,Supermarket Type1,6.2976484,Food,11
NCQ41,14.8,Low Fat,0.019277176,Health and Hygiene,196.3794,OUT013,1987,High,Tier 3,Supermarket Type1,7.5759916,Non-Consumables,26
FDX46,12.3,Regular,0.047281027,Snack Foods,57.3562,OUT013,1987,High,Tier 3,Supermarket Type1,5.180483,Food,26
FDC35,7.435,Low Fat,0.11608098,Starchy Foods,206.9638,OUT045,2002,Small,Tier 2,Supermarket Type1,6.942465,Food,11
FDH45,15.1,Regular,0.100430556,Fruits and Vegetables,42.8796,OUT035,2004,Small,Tier 2,Supermarket Type1,6.8558626,Food,9
FDX33,9.195,Regular,0.11167497,Snack Foods,160.5578,OUT017,2007,Small,Tier 2,Supermarket Type1,7.1574726,Food,6
DRJ35,10.1,Low Fat,0.045495015,Hard Drinks,59.9878,OUT013,1987,High,Tier 3,Supermarket Type1,6.183535,Drinks,26
FDC40,16.0,Regular,0.06298395,Dairy,79.5986,OUT013,1987,High,Tier 3,Supermarket Type1,6.840315,Food,26
FDO19,17.7,Regular,0.016493535,Fruits and Vegetables,48.1034,OUT045,2002,Small,Tier 2,Supermarket Type1,6.2815886,Food,11
FDP13,8.1,Regular,0.12622057,Canned,39.448,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.778621,Food,14
FDP24,20.6,Low Fat,0.07985789,Baking Goods,120.1756,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.195136,Food,14
NCQ42,20.35,Low Fat,0.038670722,Household,127.9678,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.177712,Non-Consumables,4
FDY59,8.195,Low Fat,0.026551375,Baking Goods,93.1462,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.473618,Food,4
FDU14,17.75,Low Fat,0.03423052,Dairy,248.675,OUT045,2002,Small,Tier 2,Supermarket Type1,8.515892,Food,11
FDB21,7.475,Low Fat,0.13845024,Fruits and Vegetables,240.6854,OUT035,2004,Small,Tier 2,Supermarket Type1,7.433547,Food,9
FDT32,19.0,Regular,0.063820735,Fruits and Vegetables,188.7214,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.4359055,Food,4
FDK20,12.6,Regular,0.040779363,Fruits and Vegetables,124.0072,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.304677,Food,14
FDX09,9.0,Low Fat,0.062912166,Snack Foods,174.837,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.468801,Food,28
FDM01,7.895,Regular,0.09034268,Breakfast,102.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,7.4027753,Food,9
DRI37,15.85,Low Fat,0.10172306,Soft Drinks,58.7904,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.1616135,Drinks,28
FDL20,17.1,Low Fat,0.12104437,Fruits and Vegetables,112.3886,OUT045,2002,Small,Tier 2,Supermarket Type1,7.75575,Food,11
FDU13,8.355,Low Fat,0.17254278,Canned,148.5418,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.699447,Food,4
FDE05,10.895,Regular,0.030227998,Frozen Foods,145.2102,OUT019,1985,Small,Tier 1,Grocery Store,6.080918,Food,28
FDE58,18.5,Low Fat,0.050717253,Snack Foods,118.4124,OUT013,1987,High,Tier 3,Supermarket Type1,7.77075,Food,26
FDT32,19.0,Regular,0.06327156,Fruits and Vegetables,189.9214,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.534518,Food,28
FDZ01,8.975,Regular,0.015048846,Canned,101.899,OUT010,1998,Small,Tier 3,Grocery Store,4.636659,Food,15
FDM08,10.1,Regular,0.05219788,Fruits and Vegetables,224.4088,OUT046,1997,Small,Tier 1,Supermarket Type1,8.454867,Food,16
FDS58,9.285,Regular,0.020771895,Snack Foods,158.6578,OUT013,1987,High,Tier 3,Supermarket Type1,7.7860813,Food,26
FDZ26,11.6,Regular,0.13454612,Dairy,238.3222,OUT046,1997,Small,Tier 1,Supermarket Type1,8.654611,Food,16
FDC46,17.7,Low Fat,0.10973126,Snack Foods,183.4266,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.880814,Food,28
FDY51,12.5,Low Fat,0.07831691,Meat,220.7798,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.79655,Food,4
FDL34,16.0,Low Fat,0.04035229,Snack Foods,142.3496,OUT017,2007,Small,Tier 2,Supermarket Type1,8.085315,Food,6
DRG39,14.15,Low Fat,0.04148049,Dairy,51.6982,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.1407356,Drinks,4
NCG43,20.2,Low Fat,0.0718944,Household,94.1462,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.472147,Non-Consumables,4
FDT01,13.65,Regular,0.16935553,Canned,211.5902,OUT045,2002,Small,Tier 2,Supermarket Type1,8.449468,Food,11
NCR38,17.25,Low Fat,0.10810127,Household,253.1724,OUT017,2007,Small,Tier 2,Supermarket Type1,8.236178,Non-Consumables,6
DRF01,5.655,Low Fat,0.16156802,Soft Drinks,147.4102,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.8155193,Drinks,14
FDF53,20.75,Regular,0.0802803,Frozen Foods,182.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,8.028566,Food,9
FDS45,5.175,Regular,0.029045476,Snack Foods,105.4622,OUT013,1987,High,Tier 3,Supermarket Type1,8.096126,Food,26
FDR20,20.0,Regular,0.02789026,Fruits and Vegetables,46.2744,OUT017,2007,Small,Tier 2,Supermarket Type1,6.9907956,Food,6
FDY07,11.8,Low Fat,0.050915617,Fruits and Vegetables,46.5402,OUT010,1998,Small,Tier 3,Grocery Store,5.4367785,Food,15
FDD38,16.75,Regular,0.008174837,Canned,102.8674,OUT045,2002,Small,Tier 2,Supermarket Type1,7.3317223,Food,11
DRF15,18.35,Low Fat,0.032805264,Dairy,155.034,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.5962625,Drinks,4
FDH32,12.8,Low Fat,0.073306255,Fruits and Vegetables,95.141,OUT046,1997,Small,Tier 1,Supermarket Type1,6.7671924,Food,16
NCJ42,19.75,Low Fat,0.014200027,Household,103.0332,OUT046,1997,Small,Tier 1,Supermarket Type1,7.115093,Non-Consumables,16
FDB56,8.75,Regular,0.07225666,Fruits and Vegetables,187.6556,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.844579,Food,4
FDD03,13.3,Low Fat,0.077082664,Dairy,234.03,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.341539,Food,4
NCL18,18.85,Low Fat,0.15481712,Household,194.6136,OUT013,1987,High,Tier 3,Supermarket Type1,7.061747,Non-Consumables,26
FDW22,9.695,Regular,0.0298864,Snack Foods,222.9114,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.659473,Food,14
FDE32,20.7,Low Fat,0.047598682,Fruits and Vegetables,37.5506,OUT035,2004,Small,Tier 2,Supermarket Type1,4.7348976,Food,9
FDA34,11.5,Low Fat,0.014680309,Starchy Foods,174.408,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.915115,Food,28
FDJ08,11.1,Low Fat,0.10552881,Fruits and Vegetables,191.7846,OUT017,2007,Small,Tier 2,Supermarket Type1,8.025305,Food,6
FDG38,8.975,Regular,0.05134429,Canned,83.3224,OUT013,1987,High,Tier 3,Supermarket Type1,8.182934,Food,26
FDD29,12.15,Low Fat,0.018316729,Frozen Foods,253.1698,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.327793,Food,4
NCE31,7.67,Low Fat,0.16948093,Household,35.4216,OUT013,1987,High,Tier 3,Supermarket Type1,6.109427,Non-Consumables,26
FDS19,13.8,Regular,0.062179968,Fruits and Vegetables,76.9012,OUT013,1987,High,Tier 3,Supermarket Type1,6.408874,Food,26
FDU11,4.785,Low Fat,0.08848385,Breads,120.1098,OUT013,1987,High,Tier 3,Supermarket Type1,7.189626,Food,26
FDL02,20.0,Regular,0.09916203,Canned,105.3622,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.147045,Food,14
FDO51,6.785,Regular,0.040930007,Meat,43.4112,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.010214,Food,28
DRK23,8.395,Low Fat,0.06977776,Hard Drinks,254.104,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.172462,Drinks,4
FDO27,6.175,Regular,0.16535084,Meat,95.2752,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.335636,Food,4
FDB16,8.21,Low Fat,0.044012703,Dairy,89.2198,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.1764817,Food,14
FDA44,19.7,Low Fat,0.05214051,Fruits and Vegetables,55.393,OUT017,2007,Small,Tier 2,Supermarket Type1,7.293982,Food,6
NCB18,19.6,Low Fat,0.04062297,Household,89.6514,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.1226406,Non-Consumables,4
NCL53,7.5,Low Fat,0.035593875,Health and Hygiene,175.3028,OUT046,1997,Small,Tier 1,Supermarket Type1,8.267773,Non-Consumables,16
FDR16,5.845,Regular,0.100248694,Frozen Foods,214.4218,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.3105855,Food,4
NCQ05,11.395,Low Fat,0.017211678,Health and Hygiene,151.6708,OUT013,1987,High,Tier 3,Supermarket Type1,8.149263,Non-Consumables,26
FDF44,7.17,Regular,0.05824186,Fruits and Vegetables,132.1968,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.9623914,Food,4
FDU50,5.75,Regular,0.07287438,Dairy,114.7176,OUT017,2007,Small,Tier 2,Supermarket Type1,7.1386237,Food,6
FDG20,15.5,Regular,0.19093089,Fruits and Vegetables,178.2028,OUT010,1998,Small,Tier 3,Grocery Store,5.17673,Food,15
FDD58,7.76,Low Fat,0.057647035,Snack Foods,99.77,OUT035,2004,Small,Tier 2,Supermarket Type1,6.683311,Food,9
FDT01,13.65,Regular,0.1699195,Canned,212.9902,OUT017,2007,Small,Tier 2,Supermarket Type1,8.066475,Food,6
FDK15,10.8,Low Fat,0.09400645,Meat,98.3042,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.3052306,Food,14
FDJ08,11.1,Low Fat,0.10512025,Fruits and Vegetables,189.2846,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.548553,Food,14
FDS10,19.2,Low Fat,0.03441611,Snack Foods,182.0318,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.69186,Food,28
FDJ55,12.8,Regular,0.023294112,Meat,226.8404,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.412012,Food,14
FDU32,8.785,Low Fat,0.020331599,Fruits and Vegetables,123.0414,OUT010,1998,Small,Tier 3,Grocery Store,4.80272,Food,15
FDG09,20.6,Regular,0.04681414,Fruits and Vegetables,185.9556,OUT035,2004,Small,Tier 2,Supermarket Type1,8.370635,Food,9
FDE39,7.89,Low Fat,0.03556769,Dairy,121.0782,OUT045,2002,Small,Tier 2,Supermarket Type1,8.147916,Food,11
FDU56,16.85,Low Fat,0.043420628,Fruits and Vegetables,185.8266,OUT013,1987,High,Tier 3,Supermarket Type1,7.414476,Food,26
NCH55,16.35,Low Fat,0.03415273,Household,127.402,OUT045,2002,Small,Tier 2,Supermarket Type1,6.6320176,Non-Consumables,11
FDX33,9.195,Regular,0.110571235,Snack Foods,159.4578,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.512018,Food,28
FDR24,17.35,Regular,0.061075483,Baking Goods,87.983,OUT045,2002,Small,Tier 2,Supermarket Type1,7.442948,Food,11
FDC33,8.96,Regular,0.0663536,Fruits and Vegetables,197.3768,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.92118,Food,28
NCV54,11.1,Low Fat,0.03241744,Household,116.8124,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.81954,Non-Consumables,28
NCQ02,12.6,Low Fat,0.0074226414,Household,186.7556,OUT013,1987,High,Tier 3,Supermarket Type1,7.9431915,Non-Consumables,26
NCU17,5.32,Low Fat,0.08895157,Health and Hygiene,101.4674,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.9909678,Non-Consumables,14
NCZ06,19.6,Low Fat,0.15260513,Household,255.2698,OUT019,1985,Small,Tier 1,Grocery Store,6.634646,Non-Consumables,28
FDV37,13.0,Regular,0.08019477,Canned,199.4426,OUT035,2004,Small,Tier 2,Supermarket Type1,6.3855786,Food,9
DRH25,18.7,Low Fat,0.014417924,Soft Drinks,50.2324,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.168819,Drinks,28
NCI43,19.85,Low Fat,0.025632458,Household,46.3376,OUT035,2004,Small,Tier 2,Supermarket Type1,7.047954,Non-Consumables,9
NCQ53,17.6,Low Fat,0.018833788,Health and Hygiene,237.159,OUT017,2007,Small,Tier 2,Supermarket Type1,8.030301,Non-Consumables,6
NCT18,14.6,Low Fat,0.05769697,Household,181.7976,OUT035,2004,Small,Tier 2,Supermarket Type1,8.089408,Non-Consumables,9
FDF14,7.55,Low Fat,0.026848393,Canned,152.734,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.921685,Food,14
FDM14,13.8,Low Fat,0.013176772,Canned,106.9254,OUT046,1997,Small,Tier 1,Supermarket Type1,7.982821,Food,16
FDX57,17.25,Regular,0.076140285,Snack Foods,99.2068,OUT010,1998,Small,Tier 3,Grocery Store,4.576841,Food,15
NCV05,10.1,Low Fat,0.029761218,Health and Hygiene,153.1656,OUT046,1997,Small,Tier 1,Supermarket Type1,7.3425565,Non-Consumables,16
FDX39,14.3,Regular,0.04844231,Meat,212.5586,OUT013,1987,High,Tier 3,Supermarket Type1,8.060186,Food,26
FDA23,9.8,Low Fat,0.04610756,Baking Goods,100.6016,OUT046,1997,Small,Tier 1,Supermarket Type1,7.3897033,Food,16
NCV06,11.3,Low Fat,0.06455227,Household,194.4478,OUT046,1997,Small,Tier 1,Supermarket Type1,5.9597044,Non-Consumables,16
NCE31,7.67,Low Fat,0.1699271,Household,36.3216,OUT045,2002,Small,Tier 2,Supermarket Type1,6.0293846,Non-Consumables,11
DRI39,13.8,Low Fat,0.15054022,Dairy,55.893,OUT010,1998,Small,Tier 3,Grocery Store,5.4221797,Drinks,15
FDH21,10.395,Low Fat,0.030794503,Seafood,160.0604,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.144946,Food,14
FDR26,20.7,Low Fat,0.04194467,Dairy,175.8028,OUT046,1997,Small,Tier 1,Supermarket Type1,7.373955,Food,16
FDA14,16.1,Low Fat,0.10807152,Dairy,147.176,OUT019,1985,Small,Tier 1,Grocery Store,6.373156,Food,28
FDG21,17.35,Regular,0.13705905,Seafood,149.605,OUT018,2009,Medium,Tier 3,Supermarket Type2,8.22821,Food,4
NCQ38,16.35,Low Fat,0.013331616,Others,104.828,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.5016212,Non-Consumables,4
FDN20,19.35,Low Fat,0.025845015,Fruits and Vegetables,167.0474,OUT046,1997,Small,Tier 1,Supermarket Type1,7.765681,Food,16
NCN29,15.2,Low Fat,0.012111359,Health and Hygiene,50.3034,OUT017,2007,Small,Tier 2,Supermarket Type1,4.9823055,Non-Consumables,6
FDI28,14.3,Low Fat,0.026085714,Frozen Foods,78.2302,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.318268,Food,4
FDA03,18.5,Regular,0.04424998,Dairy,146.8102,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.160359,Food,28
FDZ28,20.0,Regular,0.04712608,Frozen Foods,127.3678,OUT046,1997,Small,Tier 1,Supermarket Type1,7.484565,Food,16
FDO52,11.6,Regular,0.07398525,Frozen Foods,172.1106,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.8503604,Food,28
FDU10,10.1,Regular,0.04492602,Snack Foods,38.2848,OUT017,2007,Small,Tier 2,Supermarket Type1,7.115093,Food,6
FDP13,8.1,Regular,0.12546287,Canned,41.548,OUT027,1985,Medium,Tier 3,Supermarket Type3,6.823073,Food,28
FDV02,16.75,Low Fat,0.05850702,Dairy,170.7106,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.032681,Food,28
FDS28,8.18,Regular,0.07930062,Frozen Foods,56.9588,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.6125307,Food,14
FDW49,19.5,Low Fat,0.07932142,Canned,179.8002,OUT046,1997,Small,Tier 1,Supermarket Type1,6.5742397,Food,16
FDP33,18.7,Low Fat,0.085509814,Snack Foods,254.7672,OUT046,1997,Small,Tier 1,Supermarket Type1,8.539609,Food,16
FDJ03,12.35,Regular,0.07003128,Dairy,48.5692,OUT045,2002,Small,Tier 2,Supermarket Type1,6.787671,Food,11
FDQ51,16.0,Regular,0.01738468,Meat,45.5718,OUT013,1987,High,Tier 3,Supermarket Type1,6.946956,Food,26
DRK23,8.395,Low Fat,0.069608666,Hard Drinks,253.704,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.423777,Drinks,14
FDU11,4.785,Low Fat,0.08872622,Breads,119.7098,OUT045,2002,Small,Tier 2,Supermarket Type1,7.499781,Food,11
NCK06,5.03,Low Fat,0.0086077405,Household,122.6756,OUT035,2004,Small,Tier 2,Supermarket Type1,7.8882833,Non-Consumables,9
FDY09,15.6,Low Fat,0.02502689,Snack Foods,174.3054,OUT017,2007,Small,Tier 2,Supermarket Type1,7.467973,Food,6
NCY18,7.285,Low Fat,0.030670555,Household,173.6054,OUT035,2004,Small,Tier 2,Supermarket Type1,7.8734384,Non-Consumables,9
FDA10,20.35,Low Fat,0.12754734,Snack Foods,120.9072,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.2930765,Food,14
FDO34,17.7,Low Fat,0.029663926,Snack Foods,165.9816,OUT017,2007,Small,Tier 2,Supermarket Type1,8.380759,Food,6
FDE38,6.52,Low Fat,0.043434083,Canned,164.3842,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.406524,Food,28
FDF40,20.25,Regular,0.022387002,Dairy,248.4092,OUT017,2007,Small,Tier 2,Supermarket Type1,7.7147145,Food,6
FDY02,8.945,Regular,0.08890471,Dairy,264.791,OUT017,2007,Small,Tier 2,Supermarket Type1,8.462492,Food,6
FDS03,7.825,Low Fat,0.13051885,Meat,66.0826,OUT019,1985,Small,Tier 1,Grocery Store,5.5542393,Food,28
FDB59,18.25,Low Fat,0.015163353,Snack Foods,199.0084,OUT046,1997,Small,Tier 1,Supermarket Type1,8.062916,Food,16
NCQ42,20.35,Low Fat,0.03857556,Household,127.6678,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.981002,Non-Consumables,14
FDO15,16.75,Regular,0.008543265,Meat,72.3038,OUT049,1999,Medium,Tier 1,Supermarket Type1,6.8677135,Food,14
DRN47,12.1,Low Fat,0.0277752,Hard Drinks,178.166,OUT010,1998,Small,Tier 3,Grocery Store,6.2902684,Drinks,15
FDA03,18.5,Regular,0.042063598,Dairy,144.2102,OUT035,2004,Small,Tier 2,Supermarket Type1,7.621363,Food,9
FDA01,15.0,Regular,0.05294151,Canned,58.5904,OUT035,2004,Small,Tier 2,Supermarket Type1,6.9037843,Food,9
FDB38,19.5,Regular,0.02697946,Canned,158.992,OUT046,1997,Small,Tier 1,Supermarket Type1,7.4717684,Food,16
FDT59,13.65,Low Fat,0.015874758,Breads,230.6668,OUT017,2007,Small,Tier 2,Supermarket Type1,7.5191145,Food,6
FDG08,13.15,Regular,0.15300265,Fruits and Vegetables,170.6764,OUT035,2004,Small,Tier 2,Supermarket Type1,8.141926,Food,9
FDV56,16.1,Regular,0.013439172,Fruits and Vegetables,106.2596,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.2457795,Food,28
FDY26,20.6,Regular,0.030054335,Dairy,211.4244,OUT046,1997,Small,Tier 1,Supermarket Type1,8.966204,Food,16
DRE13,6.28,Low Fat,0.027323162,Soft Drinks,87.9198,OUT035,2004,Small,Tier 2,Supermarket Type1,7.1074886,Drinks,9
FDE51,5.925,Regular,0.0920935,Dairy,42.8086,OUT046,1997,Small,Tier 1,Supermarket Type1,6.5059767,Food,16
FDL40,17.7,Low Fat,0.011569522,Frozen Foods,94.541,OUT045,2002,Small,Tier 2,Supermarket Type1,6.967863,Food,11
FDD50,18.85,Low Fat,0.13246776,Canned,168.1132,OUT046,1997,Small,Tier 1,Supermarket Type1,7.963782,Food,16
FDC04,15.6,Low Fat,0.04379466,Dairy,241.8854,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.4320755,Food,28
FDN15,17.5,Low Fat,0.027624292,Meat,141.718,OUT010,1998,Small,Tier 3,Grocery Store,6.038954,Food,15
FDC46,17.7,Low Fat,0.11014998,Snack Foods,182.8266,OUT013,1987,High,Tier 3,Supermarket Type1,8.549456,Food,26
FDV56,16.1,Regular,0.013492968,Fruits and Vegetables,107.7596,OUT013,1987,High,Tier 3,Supermarket Type1,5.779443,Food,26
FDK43,9.8,Low Fat,0.026593346,Meat,128.402,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.1428432,Food,4
NCR29,7.565,Low Fat,0.053305373,Health and Hygiene,54.793,OUT045,2002,Small,Tier 2,Supermarket Type1,6.4337807,Non-Consumables,11
FDY03,17.6,Regular,0.073363684,Meat,111.7202,OUT046,1997,Small,Tier 1,Supermarket Type1,7.0257177,Food,16
FDU44,12.15,Regular,0.056868456,Fruits and Vegetables,164.1552,OUT049,1999,Medium,Tier 1,Supermarket Type1,8.556138,Food,14
FDZ04,9.31,Low Fat,0.037222087,Frozen Foods,61.651,OUT013,1987,High,Tier 3,Supermarket Type1,5.9388704,Food,26
FDU16,19.25,Regular,0.05672593,Frozen Foods,82.1908,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.7968116,Food,14
FDV07,9.5,Low Fat,0.030865122,Fruits and Vegetables,110.7228,OUT045,2002,Small,Tier 2,Supermarket Type1,7.413272,Food,11
NCL19,15.35,Low Fat,0.015541783,Others,143.947,OUT013,1987,High,Tier 3,Supermarket Type1,8.008394,Non-Consumables,26
FDW01,14.5,Low Fat,0.061800685,Canned,153.4682,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.7350063,Food,28
FDC10,9.8,Regular,0.07001546,Snack Foods,120.3098,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.4307885,Food,28
DRC12,17.85,Low Fat,0.037335124,Soft Drinks,189.1188,OUT017,2007,Small,Tier 2,Supermarket Type1,8.082439,Drinks,6
DRK39,7.02,Low Fat,0.04862244,Dairy,82.225,OUT013,1987,High,Tier 3,Supermarket Type1,7.9180555,Drinks,26
FDG24,7.975,Low Fat,0.014455314,Baking Goods,81.425,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.1941366,Food,28
FDO04,16.6,Low Fat,0.026066009,Frozen Foods,53.2614,OUT027,1985,Medium,Tier 3,Supermarket Type3,6.40997,Food,28
DRB25,12.3,Low Fat,0.06714131,Soft Drinks,106.3938,OUT035,2004,Small,Tier 2,Supermarket Type1,6.75408,Drinks,9
FDK26,5.46,Regular,0.03166466,Canned,184.824,OUT035,2004,Small,Tier 2,Supermarket Type1,8.363518,Food,9
FDM52,15.1,Low Fat,0.025712714,Frozen Foods,147.2076,OUT045,2002,Small,Tier 2,Supermarket Type1,7.4808183,Food,11
FDY07,11.8,Low Fat,0.11497771,Fruits and Vegetables,46.8402,OUT045,2002,Small,Tier 2,Supermarket Type1,6.39229,Food,11
NCO06,19.25,Low Fat,0.10298114,Household,33.4558,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.090009,Non-Consumables,4
FDO10,13.65,Regular,0.010581268,Snack Foods,55.8588,OUT045,2002,Small,Tier 2,Supermarket Type1,7.266457,Food,11
FDK34,13.35,Low Fat,0.03777219,Snack Foods,240.2564,OUT013,1987,High,Tier 3,Supermarket Type1,7.9586735,Food,26
FDS33,6.67,Regular,0.11585307,Snack Foods,86.9514,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.121169,Food,28
FDO45,13.15,Regular,0.03732444,Snack Foods,88.6856,OUT045,2002,Small,Tier 2,Supermarket Type1,7.4717684,Food,11
FDF08,14.3,Regular,0.063169666,Fruits and Vegetables,89.8856,OUT046,1997,Small,Tier 1,Supermarket Type1,6.8739314,Food,16
FDH58,12.3,Low Fat,0.036345996,Snack Foods,115.1834,OUT045,2002,Small,Tier 2,Supermarket Type1,7.579739,Food,11
FDS03,7.825,Low Fat,0.12511781,Meat,63.2826,OUT010,1998,Small,Tier 3,Grocery Store,4.861092,Food,15
DRF03,19.1,Low Fat,0.04430351,Dairy,38.8138,OUT035,2004,Small,Tier 2,Supermarket Type1,5.9013324,Drinks,9
FDE02,8.71,Low Fat,0.11435447,Canned,93.7778,OUT013,1987,High,Tier 3,Supermarket Type1,7.486433,Food,26
NCZ06,19.6,Low Fat,0.08991685,Household,252.2698,OUT013,1987,High,Tier 3,Supermarket Type1,7.933929,Non-Consumables,26
FDW49,19.5,Low Fat,0.077258356,Canned,179.3002,OUT049,1999,Medium,Tier 1,Supermarket Type1,7.752895,Food,14
FDR23,15.85,Low Fat,0.08263871,Breads,174.737,OUT017,2007,Small,Tier 2,Supermarket Type1,7.9455523,Food,6
NCJ29,10.6,Low Fat,0.03442317,Health and Hygiene,85.1224,OUT027,1985,Medium,Tier 3,Supermarket Type3,7.623318,Non-Consumables,28
FDY35,17.6,Regular,0.015932586,Breads,47.2402,OUT045,2002,Small,Tier 2,Supermarket Type1,6.225236,Food,11
FDZ01,8.975,Regular,0.008974586,Canned,102.699,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.037856,Food,28
FDX19,19.1,Low Fat,0.092336506,Fruits and Vegetables,233.1958,OUT046,1997,Small,Tier 1,Supermarket Type1,8.545063,Food,16
FDG44,6.13,Low Fat,0.09767759,Fruits and Vegetables,54.0298,OUT018,2009,Medium,Tier 3,Supermarket Type2,6.6957335,Food,4
FDQ23,6.55,Low Fat,0.024225373,Breads,100.6332,OUT035,2004,Small,Tier 2,Supermarket Type1,7.8882833,Food,9
FDY22,16.5,Regular,0.1489579,Snack Foods,143.8128,OUT017,2007,Small,Tier 2,Supermarket Type1,7.8588843,Food,6
NCN41,17.0,Low Fat,0.050850756,Health and Hygiene,125.073,OUT013,1987,High,Tier 3,Supermarket Type1,7.0108147,Non-Consumables,26
FDA47,10.5,Regular,0.09285901,Baking Goods,162.421,OUT045,2002,Small,Tier 2,Supermarket Type1,7.173934,Food,11
NCD19,8.93,Low Fat,0.008049668,Household,55.4614,OUT045,2002,Small,Tier 2,Supermarket Type1,5.803834,Non-Consumables,11
FDO36,19.7,Low Fat,0.07467745,Baking Goods,180.866,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.082027,Food,28
FDH20,16.1,Regular,0.02462271,Fruits and Vegetables,95.141,OUT013,1987,High,Tier 3,Supermarket Type1,8.035704,Food,26
FDN12,15.6,Low Fat,0.07761932,Baking Goods,113.1544,OUT027,1985,Medium,Tier 3,Supermarket Type3,8.118396,Food,28
NCJ30,5.82,Low Fat,0.07785784,Household,171.379,OUT018,2009,Medium,Tier 3,Supermarket Type2,7.6194043,Non-Consumables,4
